District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Tiruppur,2021,Summer,29.4,42.0,19.8,59.1,152.0
Tiruppur,2022,Kharif,26.2,37.0,21.0,76.7,460.0
Tiruppur,2022,Rabi,25.6,36.4,17.6,69.8,495.0
Tiruppur,2022,Summer,29.0,41.5,19.0,62.3,177.0
Tiruppur,2023,Kharif,27.5,38.2,21.3,72.6,246.0
Tiruppur,2023,Rabi,26.2,39.2,17.4,66.5,513.0
Tiruppur,2023,Summer,29.5,40.5,17.9,58.4,213.0
Tiruppur,2024,Kharif,26.6,35.7,21.8,77.0,382.0
Tiruppur,2024,Rabi,26.4,37.2,18.9,70.9,585.0
Tiruppur,2024,Summer,31.0,43.0,22.1,55.3,210.0
Tiruppur,2025,Kharif,26.3,37.0,21.0,77.0,196.0
Tiruppur,2025,Rabi,26.0,37.2,17.5,67.7,337.0
Tiruppur,2025,Summer,29.5,40.0,21.6,61.6,181.0
Tiruvannamalai,2020,Kharif,29.1,39.0,22.9,66.8,492.0
Tiruvannamalai,2020,Rabi,25.3,35.7,16.5,75.6,648.0
Tiruvannamalai,2020,Summer,30.2,40.8,20.1,61.7,57.0
Tiruvannamalai,2021,Kharif,29.5,38.2,23.2,62.6,448.0
Tiruvannamalai,2021,Rabi,24.5,34.8,15.9,81.2,1060.0
Tiruvannamalai,2021,Summer,29.8,40.9,18.0,60.6,68.0
Tiruvannamalai,2022,Kharif,28.5,38.0,22.4,67.7,515.0
Tiruvannamalai,2022,Rabi,24.6,33.7,17.4,78.4,624.0
Tiruvannamalai,2022,Summer,28.9,40.2,17.6,64.8,193.0
Tiruvannamalai,2023,Kharif,29.8,39.3,23.8,62.5,441.0
Tiruvannamalai,2023,Rabi,25.2,34.8,15.4,75.0,530.0
Tiruvannamalai,2023,Summer,29.0,38.7,17.5,64.2,236.0
Tiruvannamalai,2024,Kharif,29.2,38.5,23.2,65.7,537.0
Tiruvannamalai,2024,Rabi,25.7,35.8,17.6,77.3,921.0
Tiruvannamalai,2024,Summer,30.2,42.5,19.8,64.2,220.0
Tiruvannamalai,2025,Kharif,29.3,38.3,23.2,62.6,451.0
Tiruvannamalai,2025,Rabi,25.4,35.5,17.6,74.3,588.0
Tiruvannamalai,2025,Summer,29.6,39.6,20.9,63.9,126.0
Trichy,2020,Kharif,30.3,40.3,23.6,61.8,261.0
Trichy,2020,Rabi,26.7,38.2,18.2,72.0,639.0
Trichy,2020,Summer,31.3,42.3,21.0,58.6,60.0
Trichy,2021,Kharif,30.5,40.2,23.9,59.2,276.0
Trichy,2021,Rabi,25.4,36.5,16.9,80.5,994.0
Trichy,2021,Summer,30.2,41.2,19.0,61.6,106.0
Trichy,2022,Kharif,29.4,39.7,22.4,65.0,457.0
Trichy,2022,Rabi,25.8,36.2,18.6,76.0,468.0
Trichy,2022,Summer,29.9,41.5,19.6,62.9,168.0
Trichy,2023,Kharif,30.9,41.2,24.0,59.3,370.0
Trichy,2023,Rabi,26.1,37.5,16.3,75.0,636.0
Trichy,2023,Summer,29.9,40.2,19.2,64.3,236.0
Trichy,2024,Kharif,30.2,39.8,24.0,63.1,483.0
Trichy,2024,Rabi,26.6,37.0,18.4,77.5,892.0
Trichy,2024,Summer,31.1,43.2,20.4,62.8,355.0
Trichy,2025,Kharif,30.6,39.5,24.4,57.3,243.0
Trichy,2025,Rabi,26.1,38.4,17.8,75.8,586.0
Trichy,2025,Summer,30.1,40.2,21.0,65.1,227.0
Tuticorin,2020,Kharif,30.0,38.7,22.8,62.5,200.0
Tuticorin,2020,Rabi,26.7,37.2,20.9,75.7,497.0
Tuticorin,2020,Summer,29.3,38.7,23.2,72.5,74.0
Tuticorin,2021,Kharif,30.1,38.2,23.5,60.5,177.0
Tuticorin,2021,Rabi,25.9,36.5,19.6,79.9,1071.0
Tuticorin,2021,Summer,28.7,37.5,21.5,72.8,185.0
Tuticorin,2022,Kharif,29.4,37.8,23.1,63.9,267.0
Tuticorin,2022,Rabi,26.3,37.0,20.1,77.4,644.0
Tuticorin,2022,Summer,29.1,37.9,22.1,69.4,168.0
Tuticorin,2023,Kharif,30.7,39.7,23.8,59.7,233.0
Tuticorin,2023,Rabi,26.1,34.2,19.3,79.1,1109.0
Tuticorin,2023,Summer,29.2,38.2,22.0,72.0,154.0
Tuticorin,2024,Kharif,30.3,38.3,24.1,62.5,227.0
Tuticorin,2024,Rabi,26.8,35.3,19.2,79.3,707.0
Tuticorin,2024,Summer,29.3,39.2,20.6,74.0,314.0
Tuticorin,2025,Kharif,30.5,39.0,24.1,57.6,154.0
Tuticorin,2025,Rabi,26.4,38.2,19.5,77.0,855.0
Tuticorin,2025,Summer,29.5,38.4,21.3,69.4,216.0
Vellore,2020,Kharif,28.4,38.8,22.8,69.5,595.0
Vellore,2020,Rabi,24.6,34.1,16.2,77.0,611.0
Vellore,2020,Summer,29.8,40.3,20.1,60.8,32.0
Vellore,2021,Kharif,28.9,37.8,23.1,64.3,411.0
Vellore,2021,Rabi,24.0,33.1,15.0,81.5,1008.0
Vellore,2021,Summer,29.4,40.8,16.4,59.3,131.0
Vellore,2022,Kharif,28.1,38.7,22.1,68.0,550.0
Vellore,2022,Rabi,24.1,34.2,16.5,78.3,660.0
Vellore,2022,Summer,29.3,40.7,17.5,60.0,150.0
Vellore,2023,Kharif,29.7,40.2,23.4,61.7,503.0
Vellore,2023,Rabi,24.7,35.2,14.9,74.9,462.0
Vellore,2023,Summer,29.2,40.6,16.8,59.7,252.0
Vellore,2024,Kharif,29.2,39.8,22.8,64.6,504.0
Vellore,2024,Rabi,25.2,35.6,16.9,77.4,737.0
Vellore,2024,Summer,30.6,43.2,18.8,58.2,150.0
Vellore,2025,Kharif,29.3,39.0,22.5,61.4,407.0
Vellore,2025,Rabi,24.6,35.6,16.0,75.3,501.0
Vellore,2025,Summer,29.8,40.8,17.4,60.1,135.0
Villupuram,2020,Kharif,29.8,40.2,23.8,68.0,459.0
Villupuram,2020,Rabi,25.7,35.4,17.8,78.7,730.0
Villupuram,2020,Summer,30.0,41.8,21.4,67.7,36.0
Villupuram,2021,Kharif,30.1,40.3,23.9,65.0,394.0
Villupuram,2021,Rabi,25.1,33.3,17.5,82.5,1153.0
Villupuram,2021,Summer,29.8,41.0,19.0,66.3,71.0
Villupuram,2022,Kharif,29.4,39.5,23.5,68.2,416.0
Villupuram,2022,Rabi,25.4,34.5,18.1,79.4,678.0
Villupuram,2022,Summer,29.5,40.7,20.2,68.7,171.0
Villupuram,2023,Kharif,30.3,40.2,24.4,65.4,505.0
Villupuram,2023,Rabi,25.8,36.0,17.0,78.1,629.0
Villupuram,2023,Summer,29.4,39.8,20.1,69.7,171.0
Villupuram,2024,Kharif,29.8,39.5,24.0,68.3,502.0
Villupuram,2024,Rabi,26.1,35.7,18.5,80.3,1251.0
Villupuram,2024,Summer,30.1,42.7,20.8,71.0,284.0
Villupuram,2025,Kharif,29.4,38.8,23.8,68.4,408.0
Villupuram,2025,Rabi,25.7,34.6,18.2,78.7,774.0
Villupuram,2025,Summer,29.5,39.1,20.0,70.6,209.0
Virudhunagar,2020,Kharif,30.3,40.9,23.0,59.4,367.0
Virudhunagar,2020,Rabi,27.3,40.0,20.0,68.0,626.0
Virudhunagar,2020,Summer,31.3,42.3,23.1,57.7,75.0
Virudhunagar,2021,Kharif,30.4,39.8,22.0,57.9,263.0
Virudhunagar,2021,Rabi,26.1,38.7,18.2,75.1,1099.0
Virudhunagar,2021,Summer,30.2,42.0,20.2,60.6,250.0
Virudhunagar,2022,Kharif,29.5,40.7,22.7,62.8,527.0
Virudhunagar,2022,Rabi,26.8,39.8,19.1,70.2,556.0
Virudhunagar,2022,Summer,30.4,42.2,22.0,59.2,282.0
Virudhunagar,2023,Kharif,30.9,41.7,23.8,57.9,400.0
Virudhunagar,2023,Rabi,26.6,37.2,18.0,71.2,741.0
Virudhunagar,2023,Summer,30.3,42.3,21.1,61.7,266.0
Virudhunagar,2024,Kharif,30.4,41.5,23.1,61.2,431.0
Virudhunagar,2024,Rabi,27.0,37.7,19.9,74.8,690.0
Virudhunagar,2024,Summer,31.0,43.5,22.8,61.3,382.0
Virudhunagar,2025,Kharif,30.9,40.7,24.0,54.9,228.0
Virudhunagar,2025,Rabi,26.4,39.9,18.5,72.7,715.0
Virudhunagar,2025,Summer,30.2,41.3,21.8,62.5,327.0
