District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Erode,2020,Rabi,26.8,36.8,18.2,65.9,474.0
Erode,2020,Summer,31.5,41.0,22.9,52.3,91.0
Erode,2021,Kharif,28.1,39.1,22.4,70.0,416.0
Erode,2021,Rabi,25.5,38.5,17.8,75.0,851.0
Erode,2021,Summer,30.3,42.3,19.8,55.6,129.0
Erode,2022,Kharif,27.6,39.3,22.3,72.1,592.0
Erode,2022,Rabi,25.8,36.8,17.8,70.3,519.0
Erode,2022,Summer,30.0,42.3,20.4,57.4,217.0
Erode,2023,Kharif,28.9,40.8,22.2,67.4,471.0
Erode,2023,Rabi,26.5,38.8,17.3,66.4,430.0
Erode,2023,Summer,29.9,41.0,20.3,57.0,213.0
Erode,2024,Kharif,28.1,39.7,22.8,71.2,496.0
Erode,2024,Rabi,26.7,38.2,18.9,71.1,636.0
Erode,2024,Summer,31.5,43.7,21.6,53.8,268.0
Erode,2025,Kharif,28.1,39.4,22.0,69.2,290.0
Erode,2025,Rabi,26.3,36.2,17.6,67.6,404.0
Erode,2025,Summer,30.2,40.7,22.0,58.8,248.0
Kancheepuram,2020,Kharif,29.1,39.8,23.8,72.7,607.0
Kancheepuram,2020,Rabi,25.4,35.0,17.1,79.3,612.0
Kancheepuram,2020,Summer,30.0,41.9,21.0,66.7,18.0
Kancheepuram,2021,Kharif,29.7,39.0,24.1,66.5,428.0
Kancheepuram,2021,Rabi,24.9,33.4,16.6,82.2,1052.0
Kancheepuram,2021,Summer,29.5,40.8,19.1,67.2,48.0
Kancheepuram,2022,Kharif,28.9,38.8,23.3,70.6,539.0
Kancheepuram,2022,Rabi,24.9,33.5,17.7,80.0,635.0
Kancheepuram,2022,Summer,29.4,40.7,19.1,68.7,140.0
Kancheepuram,2023,Kharif,29.7,41.0,24.1,68.0,494.0
Kancheepuram,2023,Rabi,25.5,35.0,17.0,77.7,680.0
Kancheepuram,2023,Summer,29.5,41.4,18.9,67.7,180.0
Kancheepuram,2024,Kharif,29.6,41.5,23.0,68.2,532.0
Kancheepuram,2024,Rabi,25.9,35.0,17.4,79.1,783.0
Kancheepuram,2024,Summer,30.7,42.9,21.4,66.2,196.0
