iter	PRAUC	Logloss
73	0.9413855174	0.2585832046
74	0.9413855174	0.2585784135
75	0.9413855174	0.2585745791
76	0.9413855174	0.2585708543
77	0.9413855487	0.2585691381
78	0.9413855487	0.2585668024
79	0.9413855487	0.2585584655
80	0.9413855487	0.2585571233
81	0.9413855487	0.2585502331
82	0.9413855704	0.2585429716
83	0.9413855704	0.2585372558
84	0.9413855704	0.2585304847
85	0.9413855704	0.258530346
86	0.9413855704	0.2585291921
87	0.9413855704	0.2585234545
88	0.9413855704	0.2585234303
89	0.9423388363	0.2585177656
90	0.9423388363	0.2585176939
91	0.9423388363	0.2585176913
92	0.9423388363	0.2585137443
93	0.9423388363	0.2585094784
94	0.9423388363	0.2585094703
95	0.9423388363	0.2585093451
96	0.9423388363	0.2585057238
97	0.9423388363	0.2585054043
98	0.9423388363	0.258502602
99	0.9423388363	0.258502598
100	0.9423388363	0.2585000041
101	0.9423388363	0.2584969632
102	0.9423388363	0.2584968307
103	0.9423388363	0.2584968267
104	0.9423388363	0.2584938873
105	0.9423388363	0.2584920518
106	0.9423388363	0.2584920221
107	0.9423388363	0.2584920156
108	0.9423388363	0.2584920156
109	0.9423388363	0.2584920107
110	0.9423388363	0.2584899195
111	0.9423388363	0.2584899163
112	0.9423388363	0.2584898944
113	0.9423388363	0.2584896988
114	0.9423388363	0.2584896949
115	0.9423388363	0.2584896776
116	0.9423388363	0.2584896587
117	0.9423388363	0.2584896551
118	0.9423388363	0.2584896222
119	0.9423388363	0.2584895593
120	0.9423388363	0.2584895593
121	0.9423388363	0.2584895278
122	0.9423388363	0.2584894018
123	0.9423388363	0.2584893096
124	0.9423388363	0.2584893007
125	0.9423388363	0.2584892877
126	0.9423388363	0.2584892877
127	0.9423388363	0.258489113
128	0.9423388363	0.258489113
129	0.9423388363	0.2584876198
130	0.9423388363	0.2584876133
131	0.9423388363	0.2584876008
132	0.9423388363	0.2584873854
133	0.9423388363	0.2584873728
134	0.9423388363	0.2584873728
135	0.9423388363	0.2584873728
136	0.9423388363	0.2584873687
137	0.9423388363	0.2584873687
138	0.9423388363	0.2584873687
139	0.9423388363	0.2584873687
140	0.9423388363	0.2584873687
141	0.9423388363	0.2584873687
142	0.9423388363	0.2584873687
143	0.9423388363	0.2584873687
144	0.9423388363	0.2584873687
145	0.9423388363	0.2584873687
146	0.9423388363	0.2584873107
147	0.9423388363	0.2584869044
148	0.9423388363	0.2584869044
149	0.9423388363	0.258486903
150	0.9423388363	0.2584868965
151	0.9423388363	0.2584868912
152	0.9423388363	0.2584868855
153	0.9423388363	0.2584868849
154	0.9423388363	0.2584868787
155	0.9423388363	0.2584868707
156	0.9423388363	0.2584868428
157	0.9423388363	0.2584868299
158	0.9423388363	0.2584867885
159	0.9423388363	0.2584867853
160	0.9423388363	0.2584867797
161	0.9423388363	0.2584867539
162	0.9423388363	0.2584866734
163	0.9423388363	0.2584864179
164	0.9423388363	0.2584863946
165	0.9423388363	0.2584863884
166	0.9423388363	0.2584862923
167	0.9423388363	0.2584860331
168	0.9423388363	0.25848603
169	0.9423388363	0.2584859348
170	0.9423388363	0.2584859348
171	0.9423388363	0.2584859348
172	0.9423388363	0.2584859133
173	0.9423388363	0.2584859073
174	0.9423388363	0.2584858878
175	0.9423388363	0.2584858659
176	0.9423388363	0.2584858442
177	0.9423388363	0.2584858387
178	0.9423388363	0.2584858359
179	0.9423388363	0.2584858358
180	0.9423388363	0.2584858014
181	0.9423388363	0.2584857582
182	0.9423388363	0.2584857326
183	0.9423388363	0.2584857056
184	0.9423388363	0.2584857036
185	0.9423388363	0.2584856125
186	0.9423388363	0.2584856004
187	0.9423388363	0.2584855877
188	0.9423388363	0.2584855877
189	0.9423388363	0.2584855845
190	0.9423388363	0.2584855816
191	0.9423388363	0.2584855786
192	0.9423388363	0.258485545
193	0.9423388363	0.2584854952
194	0.9423388363	0.2584854923
195	0.9423388363	0.2584854923
196	0.9423388363	0.258485492
197	0.9423388363	0.2584854803
198	0.9423388363	0.2584854747
199	0.9423388363	0.2584854649
200	0.9423388363	0.2584854649
201	0.9423388363	0.2584854649
202	0.9423388363	0.2584854649
203	0.9423388363	0.2584854649
204	0.9423388363	0.2584854649
205	0.9423388363	0.2584854649
206	0.9423388363	0.2584854645
207	0.9423388363	0.2584852542
208	0.9423388363	0.2584852012
209	0.9423388363	0.2584852012
210	0.9423388363	0.2584852012
211	0.9423388363	0.2584851757
212	0.9423388363	0.2584851716
213	0.9423388363	0.2584851614
214	0.9423388363	0.2584851414
215	0.9423388363	0.2584851361
216	0.9423388363	0.258485125
217	0.9423388363	0.2584850564
218	0.9423388363	0.2584850516
219	0.9423388363	0.2584849685
220	0.9423388363	0.258484916
221	0.9423388363	0.2584848583
222	0.9423388363	0.2584847855
223	0.9423388363	0.2584847438
224	0.9423388363	0.2584847426
225	0.9423388363	0.2584847426
226	0.9423388363	0.2584847426
227	0.9423388363	0.2584847426
228	0.9423388363	0.2584847426
229	0.9423388363	0.2584847426
230	0.9423388363	0.2584847426
231	0.9423388363	0.2584847426
232	0.9423388363	0.2584847426
233	0.9423388363	0.2584847426
234	0.9423388363	0.2584847426
235	0.9423388363	0.2584847426
236	0.9423388363	0.2584847426
237	0.9423388363	0.2584847426
238	0.9423388363	0.2584847426
239	0.9423388363	0.2584847426
240	0.9423388363	0.2584847378
241	0.9423388363	0.2584847378
242	0.9423388363	0.2584847378
243	0.9423388363	0.2584847378
244	0.9423388363	0.2584847378
245	0.9423388363	0.2584847378
246	0.9423388363	0.2584847378
247	0.9423388363	0.2584847378
248	0.9423388363	0.2584847378
249	0.9423388363	0.2584847378
250	0.9423388363	0.2584847378
251	0.9423388363	0.2584847378
252	0.9423388363	0.2584847378
253	0.9423388363	0.2584847353
254	0.9423388363	0.2584847293
255	0.9423388363	0.2584847008
256	0.9423388363	0.2584844553
257	0.9423388363	0.2584844492
258	0.9423388363	0.2584844286
259	0.9423388363	0.2584843804
